C_SOURCE;C_ORG_ID;C_ORG;I_CONTR;C_BDGT_CONTRSTAT;C_BDGT_CONTRINEX;C_BDGT_ANGGARAN;C_PGM;C_PGM_SUB;C_PGM_VER;C_COA_DR;C_COA_CR;C_CY;V_BDGT_MONTH1;V_BDGT_MONTH2;V_BDGT_MONTH3;V_BDGT_MONTH4;V_BDGT_MONTH5;V_BDGT_MONTH6;V_BDGT_MONTH7;V_BDGT_MONTH8;V_BDGT_MONTH9;V_BDGT_MONTH10;V_BDGT_MONTH11;V_BDGT_MONTH12;V_BDGT_TOTAL;V_BDGT_SALDOMONTH1;V_BDGT_SALDOMONTH2;V_BDGT_SALDOMONTH3;V_BDGT_SALDOMONTH4;V_BDGT_SALDOMONTH5;V_BDGT_SALDOMONTH6;V_BDGT_SALDOMONTH7;V_BDGT_SALDOMONTH8;V_BDGT_SALDOMONTH9;V_BDGT_SALDOMONTH10;V_BDGT_SALDOMONTH11;V_BDGT_SALDOMONTH12;V_BDGT_SALDOTOTAL;I_ENTRY;D_ENTRY;C_ORG_CENTER;C_ORG_DIT;C_BDGT_CAT;V_BDGT_PLANMONTH1;V_BDGT_PLANMONTH2;V_BDGT_PLANMONTH3;V_BDGT_PLANMONTH4;V_BDGT_PLANMONTH5;V_BDGT_PLANMONTH6;V_BDGT_PLANMONTH7;V_BDGT_PLANMONTH8;V_BDGT_PLANMONTH9;V_BDGT_PLANMONTH10;V_BDGT_PLANMONTH11;V_BDGT_PLANMONTH12;V_BDGT_PLANTOTAL;C_STAT_BDGT;I_REF_UPDBDGT;D_REF_UPDBDGT;C_ORG_CONTR;V_BDGT_ADDMONTH1;V_BDGT_ADDMONTH2;V_BDGT_ADDMONTH3;V_BDGT_ADDMONTH4;V_BDGT_ADDMONTH5;V_BDGT_ADDMONTH6;V_BDGT_ADDMONTH7;V_BDGT_ADDMONTH8;V_BDGT_ADDMONTH9;V_BDGT_ADDMONTH10;V_BDGT_ADDMONTH11;V_BDGT_ADDMONTH12;V_BDGT_ADDTOTAL;C_BDGT_STAT;I_PMN;D_PMN;I_ORDER
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;50G;A23;IDR;0;0;0;0;0;0;0;0;48779000;0;0;0;48779000;0;0;0;0;0;0;0;0;48779000;0;0;0;48779000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;0;0;0;0;48779000;0;0;0;48779000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;50H;A23;IDR;0;0;0;0;0;9366000;0;0;0;0;0;0;9366000;0;0;0;0;0;9366000;0;0;0;0;0;0;9366000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;0;9366000;0;0;0;0;0;0;9366000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;50I;A23;IDR;0;0;0;0;0;0;4683000;0;0;0;0;0;4683000;0;0;0;0;0;0;4683000;0;0;0;0;0;4683000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;0;0;4683000;0;0;0;0;0;4683000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;51C;A23;IDR;0;334000;0;594000;594000;594000;594000;594000;594000;594000;594000;594000;5680000;0;334000;0;594000;594000;594000;594000;594000;594000;594000;594000;594000;5680000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;334000;0;594000;594000;594000;594000;594000;594000;594000;594000;594000;5680000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;51E;A23;IDR;1153000;856000;1600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;9009000;1153000;856000;1600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;9009000;900293;0005-07-21 00:00:00.000;AK0000;;-;1153000;856000;1600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;9009000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;51G;A23;IDR;0;0;0;297000;297000;297000;297000;297000;297000;297000;297000;297000;2673000;0;0;0;297000;297000;297000;297000;297000;297000;297000;297000;297000;2673000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;297000;297000;297000;297000;297000;297000;297000;297000;297000;2673000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;52A;A23;IDR;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;37500000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;2040000;3125000;1185000;3125000;1325000;32675000;900293;0005-07-21 00:00:00.000;AK0000;;-;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;3125000;37500000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;62A;A23;IDR;0;0;0;0;1719000;1719000;1719000;1719000;1719000;1719000;1719000;1719000;13752000;0;0;0;0;1719000;1719000;1719000;1719000;1719000;1719000;1719000;1719000;13752000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;1719000;1719000;1719000;1719000;1719000;1719000;1719000;1719000;13752000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;62B;A23;IDR;0;0;0;0;1563000;1563000;1563000;1563000;1563000;1563000;1563000;781000;11722000;0;0;0;0;1563000;1563000;1563000;1563000;1563000;1563000;1563000;781000;11722000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;1563000;1563000;1563000;1563000;1563000;1563000;1563000;781000;11722000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;69A;A23;IDR;0;0;0;0;0;813000;813000;813000;813000;813000;813000;813000;5691000;0;0;0;0;0;813000;813000;813000;813000;813000;813000;813000;5691000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;0;813000;813000;813000;813000;813000;813000;813000;5691000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;70A;A23;IDR;813000;163000;0;397000;569000;650000;569000;569000;569000;569000;650000;569000;6087000;813000;163000;0;397000;569000;650000;569000;569000;569000;569000;650000;569000;6087000;900293;0005-07-21 00:00:00.000;AK0000;;-;813000;163000;0;397000;569000;650000;569000;569000;569000;569000;650000;569000;6087000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;70D;A23;IDR;0;0;0;81000;81000;81000;81000;81000;81000;81000;81000;81000;729000;0;0;0;81000;81000;81000;81000;81000;81000;81000;81000;81000;729000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;81000;81000;81000;81000;81000;81000;81000;81000;81000;729000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;50A;A23;IDR;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;585348000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;585348000;900293;0005-07-21 00:00:00.000;AK0000;;-;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;48779000;585348000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;50B;A23;IDR;10724000;7016000;6563000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;66630000;10724000;7016000;6563000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;66630000;900293;0005-07-21 00:00:00.000;AK0000;;-;10724000;7016000;6563000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;4703000;66630000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;50C;A23;IDR;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;8664000;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;8664000;900293;0005-07-21 00:00:00.000;AK0000;;-;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;722000;8664000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;62B;A23;IDR;0;0;0;0;813000;813000;813000;813000;813000;813000;813000;406000;6097000;0;0;0;0;813000;813000;813000;813000;813000;813000;813000;406000;6097000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;813000;813000;813000;813000;813000;813000;813000;406000;6097000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;62C;A23;IDR;0;0;650000;650000;650000;650000;650000;650000;650000;650000;650000;650000;6500000;0;0;650000;650000;650000;650000;650000;650000;650000;650000;650000;650000;6500000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;650000;650000;650000;650000;650000;650000;650000;650000;650000;650000;6500000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;62D;A23;IDR;0;0;0;434000;434000;434000;434000;434000;434000;431000;431000;429000;3895000;0;0;0;434000;434000;434000;434000;434000;434000;431000;431000;429000;3895000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;434000;434000;434000;434000;434000;434000;431000;431000;429000;3895000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;63A;A23;IDR;813000;569000;813000;813000;813000;813000;813000;813000;813000;813000;813000;813000;9512000;813000;569000;813000;813000;813000;813000;813000;813000;813000;813000;813000;813000;9512000;900293;0005-07-21 00:00:00.000;AK0000;;-;813000;569000;813000;813000;813000;813000;813000;813000;813000;813000;813000;813000;9512000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;66A;A23;IDR;325000;325000;585000;585000;585000;585000;585000;585000;585000;585000;585000;585000;6500000;325000;325000;585000;585000;585000;585000;585000;585000;585000;585000;585000;585000;6500000;900293;0005-07-21 00:00:00.000;AK0000;;-;325000;325000;585000;585000;585000;585000;585000;585000;585000;585000;585000;585000;6500000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;66B;A23;IDR;0;0;0;406000;406000;406000;406000;406000;406000;406000;406000;406000;3654000;0;0;0;406000;406000;406000;406000;406000;406000;406000;406000;406000;3654000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;406000;406000;406000;406000;406000;406000;406000;406000;406000;3654000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;66E;A23;IDR;0;0;211000;211000;211000;211000;211000;211000;211000;211000;211000;211000;2110000;0;0;211000;211000;211000;211000;211000;211000;211000;211000;211000;211000;2110000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;211000;211000;211000;211000;211000;211000;211000;211000;211000;211000;2110000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;66F;A23;IDR;0;0;0;81000;81000;81000;81000;81000;81000;81000;81000;81000;729000;0;0;0;81000;81000;81000;81000;81000;81000;81000;81000;81000;729000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;81000;81000;81000;81000;81000;81000;81000;81000;81000;729000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;50I;A23;IDR;0;0;0;0;0;0;2435000;0;0;0;0;0;2435000;0;0;0;0;0;0;2435000;0;0;0;0;0;2435000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;0;0;2435000;0;0;0;0;0;2435000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;51C;A23;IDR;0;174000;0;309000;309000;309000;309000;309000;309000;309000;309000;309000;2955000;0;174000;0;309000;309000;309000;309000;309000;309000;309000;309000;309000;2955000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;174000;0;309000;309000;309000;309000;309000;309000;309000;309000;309000;2955000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;51E;A23;IDR;600000;445000;800000;300000;300000;300000;300000;300000;300000;300000;300000;300000;4545000;600000;445000;800000;300000;300000;300000;300000;300000;300000;300000;300000;300000;4545000;900293;0005-07-21 00:00:00.000;AK0000;;-;600000;445000;800000;300000;300000;300000;300000;300000;300000;300000;300000;300000;4545000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;51G;A23;IDR;0;0;0;154000;154000;154000;154000;154000;154000;154000;154000;154000;1386000;0;0;0;154000;154000;154000;154000;154000;154000;154000;154000;154000;1386000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;154000;154000;154000;154000;154000;154000;154000;154000;154000;1386000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;67B;A23;IDR;0;163000;81000;813000;813000;813000;813000;813000;813000;813000;813000;569000;7317000;0;163000;81000;813000;813000;813000;813000;813000;813000;813000;813000;569000;7317000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;163000;81000;813000;813000;813000;813000;813000;813000;813000;813000;569000;7317000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;67C;A23;IDR;0;0;0;650000;813000;650000;813000;650000;813000;813000;650000;813000;6665000;0;0;0;650000;813000;650000;813000;650000;813000;813000;650000;813000;6665000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;650000;813000;650000;813000;650000;813000;813000;650000;813000;6665000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;67G;A23;IDR;650000;650000;325000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;12596000;650000;650000;325000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;12596000;900293;0005-07-21 00:00:00.000;AK0000;;-;650000;650000;325000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;1219000;12596000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;50A;A23;IDR;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;304380000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;304380000;900293;0005-07-21 00:00:00.000;AK0000;;-;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;25365000;304380000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;50B;A23;IDR;5577000;3648000;3413000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;34652000;5577000;3648000;3413000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;34652000;900293;0005-07-21 00:00:00.000;AK0000;;-;5577000;3648000;3413000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;2446000;34652000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;50D;A23;IDR;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;9000000;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;9000000;900293;0005-07-21 00:00:00.000;AK0000;;-;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;750000;9000000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;50E;A23;IDR;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;15396000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;15396000;900293;0005-07-21 00:00:00.000;AK0000;;-;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;1283000;15396000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;901;50H;A23;IDR;0;0;0;0;0;4870000;0;0;0;0;0;0;4870000;0;0;0;0;0;4870000;0;0;0;0;0;0;4870000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;0;4870000;0;0;0;0;0;0;4870000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;907;50A;A23;IDR;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;210720000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;210720000;900293;0005-07-21 00:00:00.000;AK0000;;-;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;17560000;210720000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;907;50B;A23;IDR;3861000;2526000;2363000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;23987000;3861000;2526000;2363000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;23987000;900293;0005-07-21 00:00:00.000;AK0000;;-;3861000;2526000;2363000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;1693000;23987000;;;;AI0000;;;;;;;;;;;;;;;;;
