d_proc_gaji,c_org_cur,i_inv_gaji,c_bank_gaji,c_emp_payloc,v_emp_tunjgaji,v_emp_potgaji
2025-03-24 00:00:00,IT3000,25/03/BG/00001,BRI,BDG,12500000,0
2025-03-24 00:00:00,IT3000,25/03/BG/00001,KAS,KP2,10500000,0
2025-03-24 00:00:00,IT4100,25/03/BG/00001,BNI,KP2,14250000,0
2025-04-24 00:00:00,CF4200,25/04/BG/00001,BNI,KP2,8750000,0
2025-04-29 00:00:00,CF2300,EMPREF0097,KAS,MKS,9750000,0
2025-05-22 00:00:00,CF2300,25/05/BG/00001,BBD,KP2,6000000,0
2025-05-22 00:00:00,IT2000,EMPREF0083,BRI,MKS,10250000,0
2025-05-22 00:00:00,IT5100,25/05/BG/00001,KAS,KP2,13000000,950000
2025-05-22 00:00:00,IT5100,25/05/BG/00001,KAS,SBY,12500000,1700000
2025-06-16 00:00:00,CF0000,25/06/BG/00004,BBD,KP2,16500000,1600000
2025-06-16 00:00:00,IT4100,25/06/BG/00004,BRI,MKS,16750000,1400000
2025-06-16 00:00:00,IT4200,25/06/BG/00004,KAS,KP2,15000000,0
2025-06-24 00:00:00,CF4200,25/06/BG/00001,KAS,MKS,6000000,250000
2025-06-24 00:00:00,IT4100,EMPREF0078,BBD,BDG,6250000,0
2025-06-24 00:00:00,IT4100,EMPREF0095,KAS,JKT,7000000,0
2025-06-24 00:00:00,IT4200,25/06/BG/00001,BRI,KP2,16000000,0
2025-06-24 00:00:00,IT5100,EMPREF0092,KAS,KP2,12500000,0
2025-06-24 00:00:00,IT5200,EMPREF0082,BNI,BDG,10000000,0
2025-07-23 00:00:00,CF1000,25/07/BG/00001,KAS,KP2,11250000,700000
2025-07-23 00:00:00,IT2000,EMPREF0073,BBD,KP2,9500000,0
2025-07-23 00:00:00,IT4000,25/07/BG/00001,KAS,BDG,5750000,950000
2025-07-23 00:00:00,IT4100,25/07/BG/00001,BBD,KP2,17000000,0
2025-07-23 00:00:00,IT4100,EMPREF0071,BRI,KP2,15750000,0
2025-07-23 00:00:00,IT4200,25/07/BG/00001,KAS,KP2,14500000,0
2025-07-23 00:00:00,IT4200,EMPREF0084,BNI,SBY,16250000,0
2025-07-23 00:00:00,IT4300,25/07/BG/00001,BBD,KP2,14750000,0
2025-08-20 00:00:00,CF3100,EMPREF0087,KAS,KP2,15000000,0
2025-08-21 00:00:00,CF1A00,25/08/BG/00001,BNI,KP2,8000000,1300000
2025-08-21 00:00:00,CF4000,25/08/BG/00001,BNI,KP2,13750000,1400000
2025-08-21 00:00:00,CF4200,25/08/BG/00001,KAS,MKS,14250000,2450000
2025-08-21 00:00:00,CF4300,25/08/BG/00001,BRI,KP2,12250000,0
2025-08-21 00:00:00,CF4300,25/08/BG/00001,KAS,SBY,16250000,350000
2025-08-21 00:00:00,IT1000,EMPREF0074,BNI,KP2,11250000,0
2025-08-21 00:00:00,IT4200,25/08/BG/00001,KAS,MKS,10750000,0
2025-08-21 00:00:00,IT5200,25/08/BG/00001,BNI,KP2,15000000,1250000
2025-09-19 00:00:00,IT4000,25/09/BG/00001,BNI,KP2,18000000,0
2025-09-19 00:00:00,IT5100,25/09/BG/00001,BNI,MKS,7500000,1350000
2025-10-22 00:00:00,CF1100,25/10/BG/00001,BRI,JKT,12250000,0
2025-10-22 00:00:00,CF1A00,25/10/BG/00001,BNI,BDG,6500000,2150000
2025-10-22 00:00:00,CF3100,25/10/BG/00001,BRI,KP2,7750000,0
2025-10-22 00:00:00,IT1100,25/10/BG/00001,BNI,KP2,11500000,0
2025-10-22 00:00:00,IT1100,25/10/BG/00001,BRI,SBY,12250000,400000
2025-10-22 00:00:00,IT2000,EMPREF0099,KAS,MKS,13500000,0
2025-10-22 00:00:00,IT4300,25/10/BG/00001,BRI,KP2,10500000,0
2025-10-22 00:00:00,IT5100,EMPREF0091,KAS,KP2,6500000,0
2025-10-22 00:00:00,IT5200,EMPREF0085,KAS,KP2,14500000,0
2025-11-20 00:00:00,CF2000,25/11/BG/00001,KAS,KP2,14750000,2900000
2025-11-20 00:00:00,CF2100,25/11/BG/00001,KAS,KP2,6500000,600000
2025-11-20 00:00:00,CF3000,EMPREF0094,KAS,SBY,10750000,0
2025-11-20 00:00:00,CF3200,25/11/BG/00001,KAS,JKT,16500000,0
2025-11-20 00:00:00,IT0000,25/11/BG/00001,BNI,MKS,9500000,800000
2025-11-20 00:00:00,IT2000,25/11/BG/00001,KAS,MKS,11750000,400000
2025-11-20 00:00:00,IT4100,EMPREF0088,KAS,KP2,7000000,0
2025-11-20 00:00:00,IT4200,25/11/BG/00001,KAS,KP2,7250000,0
2025-11-20 00:00:00,IT4300,25/11/BG/00001,BBD,KP2,9750000,0
2025-11-20 00:00:00,IT5100,EMPREF0098,KAS,SBY,6750000,0
2025-12-20 00:00:00,CF2300,EMPREF0086,KAS,KP2,17250000,0
